activity_id,end_time_gmt,duration,elapsed_duration,distance,average_hr,max_hr,average_speed,max_speed,avg_power,average_running_cadence_spm,avg_stride_length,aerobic_training_effect,anaerobic_training_effect,trimp
21429613455,2026-01-03 12:47:15,2574.35,2651.68,7838.06,165.0,181.0,3.05,3.91,370.0,175.17,104.09,4.6,0.8,77.0
21409789595,2026-01-01 11:26:27,2837.85,3056.11,9052.48,153.0,168.0,3.19,4.46,336.0,168.73,110.05,4.3,0.8,104.0
21381697747,2025-12-29 11:16:47,4056.12,4356.45,12266.6,151.0,169.0,3.02,4.32,184.0,159.98,108.44,4.6,1.7,138.0
21353316414,2025-12-26 10:43:12,4143.28,4236.08,12703.03,137.0,152.0,3.07,4.52,389.0,171.88,106.77,3.9,0.9,138.0
21347251060,2025-12-25 13:00:26,3619.05,4186.61,11529.32,151.0,172.0,3.19,5.21,114.0,172.56,110.76,4.4,0.5,133.0
21313044488,2025-12-21 10:36:25,4159.21,4993.13,9973.6,124.0,150.0,2.4,3.31,226.0,156.2,91.86,3.2,0.0,82.0
21253163123,2025-12-14 10:26:48,2403.57,2562.33,7568.13,155.0,174.0,3.15,4.1,608.0,167.59,108.46,4.0,0.7,81.0
21245590741,2025-12-13 12:15:47,2548.26,2572.52,8016.95,145.0,172.0,3.15,3.98,362.0,170.19,108.35,3.5,0.0,83.0
21213222819,2025-12-09 18:14:07,2895.05,3567.6,8950.53,147.0,170.0,3.09,5.03,297.0,167.94,108.42,3.9,0.4,101.0
21186535914,2025-12-06 17:25:22,4793.4,5573.85,14587.52,148.0,166.0,3.04,4.36,174.0,169.72,106.66,4.6,0.2,161.0
21151878838,2025-12-02 19:06:03,3235.88,3821.91,9924.48,145.0,162.0,3.07,4.37,178.0,168.47,106.74,3.7,0.4,107.0
21132651948,2025-11-30 15:32:24,4141.78,4364.77,12957.2,155.0,174.0,3.13,4.37,203.0,173.83,108.33,4.9,1.2,152.0
21113264471,2025-11-28 12:19:06,4307.24,4475.1,13680.25,164.0,179.0,3.18,3.58,259.0,172.41,109.95,5.0,0.0,143.0
21089566053,2025-11-25 18:35:21,3991.45,4253.27,7426.75,122.0,154.0,1.86,5.04,80.0,114.42,99.79,3.0,1.1,108.0
21068135593,2025-11-23 11:30:42,4287.43,4400.36,13636.04,160.0,173.0,3.18,4.03,193.0,174.52,108.99,5.0,0.4,169.0
21048995639,2025-11-21 08:00:30,4201.35,4760.75,13292.04,146.0,180.0,3.16,4.19,497.0,172.33,109.41,4.1,1.6,154.0
21025937330,2025-11-18 17:58:08,2604.64,3172.04,6796.39,143.0,174.0,2.61,4.92,129.0,131.61,116.11,3.2,2.8,117.0
21004118916,2025-11-16 11:14:40,4176.87,4331.21,13473.41,143.0,164.0,3.23,3.71,292.0,175.58,109.76,4.3,0.4,168.0
20977155688,2025-11-13 13:06:18,4084.23,4538.42,12396.99,165.0,182.0,3.04,3.41,210.0,168.17,107.45,5.0,0.5,125.0
20960889406,2025-11-11 19:09:19,3541.1,3565.4,10559.33,155.0,174.0,2.98,4.01,237.0,169.81,106.58,4.7,1.4,113.0
20936300527,2025-11-09 10:28:31,4918.67,5039.21,15646.48,149.0,173.0,3.18,4.41,211.0,173.22,109.7,4.7,1.5,169.0
20922000439,2025-11-07 19:13:10,3221.62,3691.86,9756.94,145.0,161.0,3.03,3.94,149.0,161.12,108.8,3.9,0.1,107.0
20891770324,2025-11-04 17:57:23,2473.53,2923.76,6966.39,143.0,175.0,2.82,7.21,171.0,153.78,106.35,3.4,2.5,109.0
20866224116,2025-11-02 09:17:47,3689.57,3804.47,11524.56,156.0,179.0,3.12,5.43,118.0,170.3,108.3,4.9,2.3,142.0
20823649713,2025-10-28 17:48:34,2357.29,2820.93,6354.51,140.0,168.0,2.7,5.04,256.0,140.44,115.23,3.2,3.2,115.0
20799548129,2025-10-26 09:03:11,4546.36,4856.85,14576.75,163.0,177.0,3.21,3.85,157.0,173.47,110.57,5.0,2.7,168.0
20757747324,2025-10-21 17:22:31,3308.25,4031.37,6892.9,122.0,154.0,2.08,5.66,239.0,109.95,111.04,3.0,2.5,112.0
20733219336,2025-10-19 08:14:45,6145.45,6145.45,21265.83,164.0,175.0,3.46,4.83,338.0,179.58,114.88,5.0,1.6,294.0
20719047443,2025-10-17 18:10:26,3284.8,3543.74,9918.7,147.0,159.0,3.02,6.01,150.0,167.19,107.46,4.2,0.6,105.0
20698912397,2025-10-15 17:04:25,2778.19,3247.38,7258.23,137.0,177.0,2.61,4.66,147.0,140.11,115.13,3.6,3.0,125.0
20648563691,2025-10-10 17:06:02,2943.66,2965.34,8372.84,149.0,173.0,2.84,4.58,198.0,164.17,103.11,4.0,0.7,83.0
20617818350,2025-10-07 16:37:35,3302.04,3572.19,10274.16,154.0,173.0,3.11,3.97,188.0,167.28,108.61,4.6,2.2,114.0
20595088623,2025-10-05 10:57:22,6664.87,7224.01,21109.65,162.0,176.0,3.17,3.73,337.0,172.58,109.92,5.0,1.5,229.0
